                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6385,                 4.3564,                 1.1789,                0.00167,                    0.5,                0.00196,                0.00069,                 1.6788,                 4.3025,                 1.1433,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.6695,                 4.1115,                 1.1989,                0.00167,                    0.5,                0.00269,                0.00168,                 1.4353,                 4.2299,                 1.0351,             5.9881e-05,             5.9881e-05,             5.9881e-05
                      3,                 1.3369,                 4.2467,                 1.1082,                0.00222,                0.66667,                0.00549,                 0.0035,                 1.1828,                 4.0978,                0.93937,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                 1.1519,                 3.6453,                0.95239,                0.00278,                0.83333,                0.00861,                0.00562,                 1.1609,                 4.0396,                0.90411,             0.00013917,             0.00013917,             0.00013917
                      5,                 1.4304,                 3.5438,                 1.0297,                0.00279,                0.83333,                0.00923,                0.00633,                 1.0059,                 3.9311,                0.87596,             0.00017857,             0.00017857,             0.00017857
                      6,                 1.1688,                 2.7343,                0.94901,                0.00333,                      1,                0.01357,                0.00712,                 1.0526,                 3.7645,                0.88939,             0.00021782,             0.00021782,             0.00021782
                      7,                 1.2732,                 2.0588,                0.95856,                0.00333,                      1,                0.09441,                0.06448,                 1.1169,                 3.5451,                0.93827,             0.00025691,             0.00025691,             0.00025691
                      8,                  1.274,                 2.0646,                0.95968,                0.00333,                      1,                 0.0147,                0.00852,                  1.187,                 3.4862,                0.94745,             0.00029584,             0.00029584,             0.00029584
                      9,                 1.2366,                 1.6766,                0.96644,                0.00333,                      1,                0.01366,                0.00832,                 1.1936,                 3.5651,                  0.933,             0.00033461,             0.00033461,             0.00033461
                     10,                 1.0252,                 1.6386,                0.95555,                0.00278,                0.83333,                 0.0109,                0.00594,                  1.078,                 3.7403,                0.93533,             0.00037323,             0.00037323,             0.00037323
