                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4299,                 3.6848,                 1.9795,                      0,                      0,                      0,                      0,                  4.408,                 4.2006,                 2.6017,                      0,                      0,                      0
                      2,                 2.6907,                 3.8753,                 2.2095,                      0,                      0,                      0,                      0,                 4.4235,                  4.117,                 2.6563,              1.996e-05,              1.996e-05,              1.996e-05
                      3,                 2.5658,                 3.7297,                 2.0308,                      0,                      0,                      0,                      0,                 4.4069,                 4.0347,                 2.6694,             3.9842e-05,             3.9842e-05,             3.9842e-05
                      4,                 2.1819,                 3.7288,                 1.9443,                      0,                      0,                      0,                      0,                 4.3805,                 3.9713,                 2.6285,             5.9644e-05,             5.9644e-05,             5.9644e-05
                      5,                 2.0629,                  3.573,                  1.733,                      0,                      0,                      0,                      0,                 4.3536,                  4.129,                 2.5075,             7.9366e-05,             7.9366e-05,             7.9366e-05
                      6,                 1.9284,                 3.5115,                   1.66,                      0,                      0,                      0,                      0,                 4.1288,                   4.14,                 2.2004,              9.901e-05,              9.901e-05,              9.901e-05
                      7,                 2.3097,                 3.5795,                 1.8755,                0.00498,                      1,                0.03685,                0.00369,                 3.5864,                 3.7728,                 1.8073,             0.00011857,             0.00011857,             0.00011857
                      8,                 2.0502,                 3.4433,                 1.6409,                 0.0049,                      1,                0.04523,                0.00452,                  3.383,                 3.6498,                 1.6238,             0.00013806,             0.00013806,             0.00013806
                      9,                 1.9682,                 3.3447,                 1.7485,                0.00483,                      1,                0.04975,                0.00627,                 3.6094,                 3.8625,                 1.8855,             0.00015747,             0.00015747,             0.00015747
                     10,                 1.6093,                  3.169,                 1.4807,                0.00476,                      1,                0.01658,                0.00166,                 3.8082,                  4.049,                 1.8751,             0.00017679,             0.00017679,             0.00017679
                     11,                 1.6142,                 3.1123,                 1.4746,                0.00476,                      1,                0.01658,                0.00166,                 4.1541,                 3.8639,                 2.1702,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.6106,                 2.9853,                 1.5678,                0.00476,                      1,                0.01658,                0.00166,                 4.2434,                 3.8689,                 2.3092,             0.00021521,             0.00021521,             0.00021521
                     13,                 1.6438,                 2.6631,                 1.4196,                0.00422,                      1,                0.01555,                0.00155,                 4.3054,                 3.7108,                 2.3305,              0.0002343,              0.0002343,              0.0002343
                     14,                 1.9491,                 2.5879,                 1.4967,                0.00398,                      1,                0.01658,                0.00308,                 4.3103,                 3.7232,                 2.4291,             0.00025331,             0.00025331,             0.00025331
                     15,                 1.5959,                 2.3224,                  1.462,                0.00391,                      1,                0.01913,                0.00191,                 3.8599,                 3.9567,                 2.3832,             0.00027224,             0.00027224,             0.00027224
                     16,                  1.513,                 2.1114,                  1.343,                0.00389,                      1,                0.01843,                0.00184,                 3.7944,                 3.8771,                 2.1965,             0.00029109,             0.00029109,             0.00029109
