                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6495,                 5.1382,                 2.7317,                0.00267,                0.66667,                0.00786,                0.00314,                 2.4801,                 5.4412,                 2.3256,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.5804,                 4.8441,                 2.6979,                  0.004,                      1,                0.04098,                0.01123,                 1.9385,                 5.4269,                 1.9793,             5.9881e-05,             5.9881e-05,             5.9881e-05
                      3,                 1.9738,                 3.9813,                 2.0414,                  0.004,                      1,                0.05058,                 0.0243,                 1.8364,                 4.8511,                  1.897,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                 1.8889,                 4.7489,                 1.8043,                  0.004,                      1,                 0.0578,                 0.0234,                 2.2884,                 5.0816,                 2.3995,             0.00013917,             0.00013917,             0.00013917
                      5,                  1.377,                 3.8565,                 1.7311,                  0.004,                      1,                0.13643,                0.05346,                 1.9564,                 4.9123,                  2.787,             0.00017857,             0.00017857,             0.00017857
                      6,                 1.5651,                 2.9732,                 1.7386,                  0.004,                      1,                0.50637,                0.15569,                   1.81,                 4.2714,                 2.5295,             0.00021782,             0.00021782,             0.00021782
                      7,                 1.1883,                 2.7273,                 1.3381,                  0.004,                      1,                0.44044,                0.22983,                 1.4123,                 4.1829,                 1.8429,             0.00025691,             0.00025691,             0.00025691
                      8,                0.97156,                 2.7345,                 1.2485,                  0.004,                      1,                0.34444,                0.17194,                 1.7123,                 4.3494,                  1.937,             0.00029584,             0.00029584,             0.00029584
                      9,                 1.0675,                 2.4109,                 1.4332,                0.00333,                0.83333,                 0.4628,                0.15065,                 1.9731,                 4.6448,                 1.9442,             0.00033461,             0.00033461,             0.00033461
                     10,                 1.0986,                 2.2675,                 1.4036,                0.00333,                0.83333,                0.33268,                0.10545,                 1.9391,                 4.4952,                 2.3319,             0.00037323,             0.00037323,             0.00037323
                     11,                 1.0699,                 2.0782,                 1.3819,                0.00333,                0.83333,                0.17424,                0.07258,                 1.7756,                 4.4222,                 2.3939,             0.00041168,             0.00041168,             0.00041168
                     12,                 1.0464,                 2.1759,                  1.352,                0.00333,                0.83333,                0.25509,                0.09776,                 1.8676,                 4.4073,                 2.2969,             0.00044998,             0.00044998,             0.00044998
                     13,                 0.9468,                  1.875,                 1.2197,                0.00333,                0.83333,                0.25417,                0.13243,                 1.9222,                 4.2457,                 2.3031,             0.00048812,             0.00048812,             0.00048812
                     14,                0.81987,                 1.6744,                 1.0963,                0.00333,                0.83333,                0.38164,                0.16352,                 1.7212,                 3.8949,                 2.0694,              0.0005261,              0.0005261,              0.0005261
                     15,                0.97924,                 2.0476,                 1.2199,                0.00267,                0.66667,                0.23351,                0.06241,                 1.9482,                 4.1297,                 2.5473,             0.00056392,             0.00056392,             0.00056392
                     16,                0.87561,                 1.7163,                 1.0433,                0.00267,                0.66667,                0.13656,                0.04931,                 2.0561,                 4.0376,                 2.9497,             0.00060159,             0.00060159,             0.00060159
                     17,                0.91581,                 1.8654,                 1.2019,                0.00724,                0.83333,                0.22842,                0.11956,                 1.6374,                 3.9296,                  2.572,             0.00063909,             0.00063909,             0.00063909
                     18,                0.84587,                 1.8187,                 1.1328,                0.00522,                0.83333,                0.30094,                0.14663,                 1.5067,                  3.757,                 2.0654,             0.00067644,             0.00067644,             0.00067644
                     19,                 0.8402,                 1.6883,                 1.0292,                0.21878,                0.60909,                0.32582,                0.12609,                 1.4822,                 3.7621,                 1.9023,             0.00071363,             0.00071363,             0.00071363
                     20,                0.83845,                 1.7204,                  1.152,                0.24409,                    0.5,                0.25909,                0.13772,                 1.4538,                 3.8368,                 1.8879,             0.00075066,             0.00075066,             0.00075066
                     21,                0.78146,                 1.5131,                 1.1372,                 0.0769,                0.83333,                 0.2899,                0.12846,                 1.6305,                 3.8339,                 1.8611,             0.00078753,             0.00078753,             0.00078753
                     22,                0.71476,                 1.5877,                 1.0682,                0.09518,                0.66667,                0.20101,                0.12907,                  1.599,                 3.9403,                 1.7374,             0.00082424,             0.00082424,             0.00082424
                     23,                0.80849,                 1.5686,                 1.0877,                0.16877,                0.50799,                 0.1671,                0.09389,                 1.5148,                 3.8936,                  1.709,              0.0008608,              0.0008608,              0.0008608
                     24,                0.94863,                 1.4764,                 1.2658,                  0.148,                0.33333,                0.22883,                0.13258,                 1.4316,                 3.6553,                 1.7157,             0.00089719,             0.00089719,             0.00089719
                     25,                0.85262,                 1.3542,                 1.0951,                0.32219,                0.33333,                 0.2662,                0.14105,                 1.2299,                 3.7197,                 1.7306,             0.00093343,             0.00093343,             0.00093343
                     26,                0.74538,                 1.5305,                0.98986,                0.16166,                0.33333,                0.38027,                0.17766,                 1.4298,                 3.6988,                  1.877,             0.00096951,             0.00096951,             0.00096951
                     27,                0.71442,                 1.4471,                 1.0778,                0.16952,                    0.5,                 0.3753,                0.16716,                  1.561,                 3.5752,                 1.8312,              0.0010054,              0.0010054,              0.0010054
                     28,                0.96008,                   1.81,                 1.1485,                  0.398,                0.33333,                0.28005,                0.11288,                 1.7563,                 3.8773,                 1.9387,              0.0010412,              0.0010412,              0.0010412
                     29,                 1.1081,                 2.2343,                 1.3594,                  0.004,                      1,                 0.0634,                0.02369,                 2.1663,                 4.3371,                 2.2145,              0.0010768,              0.0010768,              0.0010768
                     30,                0.93585,                 1.8238,                 1.2487,                0.00333,                0.83333,                0.06234,                0.03072,                 2.2941,                 4.2846,                 2.4003,              0.0011122,              0.0011122,              0.0011122
                     31,                0.73362,                 1.3569,                  1.018,                0.07573,                0.16667,                0.07717,                0.03667,                 2.4242,                 4.0874,                 2.5187,              0.0011475,              0.0011475,              0.0011475
                     32,                0.81777,                 1.3593,                  1.089,                0.49167,                0.16389,                0.09226,                0.05398,                 2.5013,                  3.922,                 2.5242,              0.0011827,              0.0011827,              0.0011827
                     33,                0.73641,                 1.2579,                0.93564,                0.44784,                0.14928,                0.09234,                0.05341,                 2.3315,                 4.1722,                 2.3953,              0.0012176,              0.0012176,              0.0012176
                     34,                0.84287,                 1.5308,                 1.2009,                0.12829,                0.16667,                0.04264,                0.03295,                 2.1218,                 4.0847,                 2.1192,              0.0012524,              0.0012524,              0.0012524
                     35,                0.91611,                  1.389,                 1.0933,                0.19522,                0.33333,                0.12213,                0.04028,                 2.0854,                 3.9137,                 1.9565,              0.0012871,              0.0012871,              0.0012871
                     36,                0.83374,                 1.6198,                 1.2346,                0.16151,                0.33333,                 0.1256,                0.04276,                 1.8363,                 3.8505,                  1.856,              0.0013216,              0.0013216,              0.0013216
                     37,                0.81899,                   1.38,                 1.0458,                0.16151,                0.33333,                 0.1256,                0.04276,                 1.8363,                 3.8505,                  1.856,              0.0013559,              0.0013559,              0.0013559
                     38,                0.81459,                 1.4103,                 1.1016,                0.19989,                0.33333,                0.15958,                0.09898,                 1.6279,                 3.4852,                 1.8522,              0.0013901,              0.0013901,              0.0013901
                     39,                0.80793,                 1.4942,                 1.1368,                0.44995,                0.33333,                  0.503,                0.29742,                 1.7045,                 3.1414,                 1.8537,              0.0014241,              0.0014241,              0.0014241
                     40,                0.69651,                 1.1687,                 1.0421,                0.44995,                0.33333,                  0.503,                0.29742,                 1.7045,                 3.1414,                 1.8537,               0.001458,               0.001458,               0.001458
                     41,                0.76075,                 1.2685,                 1.0129,                0.46605,                0.66667,                0.56138,                0.21697,                 1.6496,                 3.2168,                 1.7538,              0.0014917,              0.0014917,              0.0014917
                     42,                0.78758,                 1.2216,                 1.0459,                0.61241,                0.66667,                0.75785,                0.29374,                 1.7282,                 2.9845,                 2.3358,              0.0015252,              0.0015252,              0.0015252
                     43,                0.85314,                 1.3909,                 1.1292,                0.61241,                0.66667,                0.75785,                0.29374,                 1.7282,                 2.9845,                 2.3358,              0.0015586,              0.0015586,              0.0015586
                     44,                0.90573,                 1.5551,                 1.1603,                0.61197,                      1,                0.82833,                 0.2267,                 1.7549,                 2.8046,                 3.1414,              0.0015919,              0.0015919,              0.0015919
