                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5692,                 3.7434,                 2.1937,                0.01081,                    0.8,                0.07891,                0.03903,                 1.7873,                  3.279,                 1.7938,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                 1.7756,                 3.4843,                 1.7388,                 0.0114,                0.86667,                0.15899,                0.09523,                 1.7528,                 3.2629,                 1.7612,             4.2785e-05,             4.2785e-05,             4.2785e-05
                      3,                 1.8849,                 3.5032,                   1.86,                0.01203,                0.93333,                 0.3105,                0.19005,                 1.6452,                 3.2204,                 1.6159,             7.1167e-05,             7.1167e-05,             7.1167e-05
                      4,                 1.5825,                 3.1512,                 1.5333,                0.01206,                    0.9,                0.37537,                0.23033,                 1.6394,                 3.1872,                 1.6044,             9.9436e-05,             9.9436e-05,             9.9436e-05
                      5,                 1.3467,                 3.0049,                 1.3765,                0.01326,                      1,                0.41569,                0.25713,                 1.5859,                 3.1465,                 1.5407,             0.00012759,             0.00012759,             0.00012759
                      6,                 1.4985,                 2.8097,                 1.4506,                 0.0132,                      1,                0.39213,                0.24716,                 1.4894,                 3.0371,                 1.4975,             0.00015563,             0.00015563,             0.00015563
                      7,                 1.9288,                 3.2005,                 1.7126,                0.01251,                0.96667,                 0.5257,                0.36134,                 1.3015,                 2.9372,                 1.5231,             0.00018356,             0.00018356,             0.00018356
                      8,                  1.456,                 2.3764,                 1.4543,                0.01252,                0.96667,                0.58179,                0.38025,                 1.3837,                 2.8084,                 1.6861,             0.00021138,             0.00021138,             0.00021138
                      9,                 1.2585,                 1.9674,                 1.3196,                      1,                 0.2156,                0.64077,                0.39942,                 1.5408,                 2.7056,                 1.8051,             0.00023908,             0.00023908,             0.00023908
                     10,                 1.5748,                 2.2704,                 1.5267,                0.59349,                0.43333,                0.63909,                0.41293,                 1.5604,                 2.6151,                 1.7546,             0.00026667,             0.00026667,             0.00026667
                     11,                 1.3581,                  1.832,                 1.3447,                0.80944,                 0.4353,                0.63246,                0.43246,                 1.5264,                 2.5318,                   1.79,             0.00029415,             0.00029415,             0.00029415
                     12,                 1.2372,                 2.0311,                 1.3891,                0.84955,                0.34425,                0.62136,                0.42899,                 1.5109,                 2.4793,                 1.7556,             0.00032151,             0.00032151,             0.00032151
                     13,                 1.4608,                 3.4861,                 1.5691,                0.80501,                0.35978,                0.72542,                0.46635,                 1.5337,                 2.4294,                 1.7511,             0.00034876,             0.00034876,             0.00034876
                     14,                 1.3596,                 1.8486,                 1.3526,                0.89113,                0.43335,                0.78737,                0.51951,                 1.5581,                 2.3978,                 1.7372,              0.0003759,              0.0003759,              0.0003759
                     15,                 1.3122,                 1.8972,                 1.3192,                0.87795,                0.39916,                0.79188,                0.53545,                 1.4431,                 2.3435,                 1.5158,             0.00040292,             0.00040292,             0.00040292
                     16,                 1.3498,                 1.8092,                 1.3408,                0.88013,                0.45903,                0.75495,                0.49805,                 1.3545,                 2.2956,                 1.5598,             0.00042983,             0.00042983,             0.00042983
                     17,                 1.2177,                 1.8074,                 1.3978,                0.83008,                0.49718,                0.76009,                0.45903,                 1.5404,                 2.2755,                 1.8026,             0.00045663,             0.00045663,             0.00045663
                     18,                 1.0548,                 1.4965,                 1.2035,                0.78965,                0.55554,                0.75753,                0.46787,                 1.5586,                 2.2305,                 1.8715,             0.00048331,             0.00048331,             0.00048331
                     19,                 1.3635,                 1.8268,                 1.3447,                0.76927,                 0.5817,                0.71968,                0.46208,                 1.4858,                 2.1864,                 1.7622,             0.00050989,             0.00050989,             0.00050989
                     20,                 1.1886,                 1.4407,                 1.1946,                0.76033,                0.58326,                0.70015,                0.45999,                 1.4606,                 2.0733,                   1.67,             0.00053634,             0.00053634,             0.00053634
                     21,                 1.1066,                 1.4715,                 1.2429,                0.69231,                 0.5089,                0.64109,                0.47861,                 1.3241,                  2.013,                 1.4721,             0.00056269,             0.00056269,             0.00056269
                     22,                 1.0414,                 1.4995,                 1.2134,                0.76342,                0.55855,                0.65915,                0.45654,                 1.4301,                 2.0277,                 1.5433,             0.00058892,             0.00058892,             0.00058892
                     23,                 1.3538,                 1.6822,                 1.2616,                0.74783,                0.55271,                0.67248,                0.46054,                 1.5919,                 2.0481,                 1.6584,             0.00061504,             0.00061504,             0.00061504
                     24,                 1.2729,                 1.6929,                 1.3307,                0.62607,                0.43333,                0.60128,                0.38956,                 1.7727,                 2.2346,                 1.8805,             0.00064104,             0.00064104,             0.00064104
                     25,                 1.0968,                 1.3453,                 1.1648,                0.63086,                0.43333,                0.55696,                0.37438,                 1.6426,                 2.2008,                 1.8067,             0.00066694,             0.00066694,             0.00066694
                     26,                 1.1214,                 1.3741,                 1.1787,                0.66917,                0.43739,                0.59228,                0.40526,                 1.5332,                 2.2045,                 1.5684,             0.00069271,             0.00069271,             0.00069271
                     27,                 1.1386,                 1.4099,                 1.2357,                0.83772,                0.58457,                0.71117,                 0.4925,                 1.4087,                 2.1462,                 1.4499,             0.00071838,             0.00071838,             0.00071838
                     28,                 1.3362,                  1.801,                 1.2854,                0.76665,                0.61925,                0.78998,                0.51261,                 1.3397,                 2.0765,                 1.4629,             0.00074393,             0.00074393,             0.00074393
                     29,                 1.0502,                 1.4508,                 1.1034,                0.74574,                0.59895,                0.71545,                0.47014,                 1.6266,                 2.0791,                 1.7126,             0.00076937,             0.00076937,             0.00076937
                     30,                 1.1218,                 1.3818,                 1.1274,                0.72844,                0.72279,                0.70398,                0.42022,                 1.7664,                 1.9839,                 1.7926,              0.0007947,              0.0007947,              0.0007947
                     31,                0.98756,                 1.1393,                0.98841,                0.66464,                0.65772,                0.67597,                0.44835,                 1.4847,                  1.815,                 1.5563,             0.00081991,             0.00081991,             0.00081991
                     32,                 1.2608,                 1.7519,                 1.3705,                0.80112,                0.68698,                0.72998,                0.47376,                   1.47,                 1.7789,                 1.5591,             0.00084501,             0.00084501,             0.00084501
                     33,                0.94837,                 1.1466,                 1.0546,                 0.7968,                0.77189,                0.80842,                0.49536,                 1.5396,                 1.8172,                 1.5472,                0.00087,                0.00087,                0.00087
                     34,                0.91732,                 1.1416,                 1.1694,                0.79686,                0.70323,                0.79288,                0.46322,                 1.5532,                 1.8586,                 1.6479,             0.00089487,             0.00089487,             0.00089487
                     35,                0.98393,                 1.1823,                 1.1479,                 0.8265,                0.67569,                0.77356,                0.43181,                 1.6103,                 1.8266,                 1.6897,             0.00091963,             0.00091963,             0.00091963
                     36,                 1.0205,                 1.2821,                 1.1348,                0.76716,                0.73333,                0.79534,                0.43146,                 1.5866,                 1.7143,                 1.6969,             0.00094428,             0.00094428,             0.00094428
                     37,                 1.0628,                 1.1624,                 1.0241,                0.76716,                0.73333,                0.79534,                0.43146,                 1.5866,                 1.7143,                 1.6969,             0.00096881,             0.00096881,             0.00096881
                     38,                 1.3229,                  1.491,                 1.3558,                0.79901,                0.78837,                0.81954,                0.48353,                 1.4945,                 1.6035,                 1.6006,             0.00099323,             0.00099323,             0.00099323
                     39,                 1.1576,                 1.2916,                 1.2049,                0.76049,                0.62153,                0.79047,                0.53135,                 1.4719,                 1.8044,                 1.5051,              0.0010175,              0.0010175,              0.0010175
                     40,                 1.2111,                 1.3162,                 1.1736,                0.76049,                0.62153,                0.79047,                0.53135,                 1.4719,                 1.8044,                 1.5051,              0.0010417,              0.0010417,              0.0010417
                     41,                0.97215,                 1.3383,                 1.0455,                0.59436,                 0.5349,                 0.6014,                0.43881,                 1.5462,                 2.1374,                 1.5035,              0.0010658,              0.0010658,              0.0010658
                     42,                 1.0631,                 1.2863,                 1.1035,                0.58173,                0.49098,                0.59356,                0.32978,                 1.9522,                 2.4237,                 1.7597,              0.0010898,              0.0010898,              0.0010898
                     43,                 1.1137,                 1.2831,                 1.1982,                0.58173,                0.49098,                0.59356,                0.32978,                 1.9522,                 2.4237,                 1.7597,              0.0011136,              0.0011136,              0.0011136
                     44,                0.92399,                  1.264,                 1.0555,                 0.4801,                0.50635,                 0.4944,                0.24269,                 2.1558,                 2.4781,                 2.2508,              0.0011374,              0.0011374,              0.0011374
