                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80817,                 2.8138,                0.64444,                0.62083,                 1.0759,                0.96548,                0.83333,                  0.955,                0.74851,                0.96548,                0.83333,                  0.955,                0.68577,                0.92208,                 1.9113,                0.65193,                0.60658,                  1.358,                  2e-05,                  2e-05,                  2e-05
                      2,                0.82819,                 2.9397,                0.63478,                0.64498,                 1.1056,                0.96382,                0.83333,                0.97214,                0.76059,                0.96382,                0.83333,                0.97214,                0.71914,                0.87548,                 1.8597,                0.65367,                0.59997,                 1.3237,             5.9703e-05,             5.9703e-05,             5.9703e-05
                      3,                0.78746,                  3.148,                0.64352,                0.71969,                 1.0693,                      1,                0.93861,                  0.995,                0.83617,                      1,                0.93861,                  0.995,                0.68046,                 0.8255,                 1.8526,                0.65319,                0.57714,                 1.3038,              9.901e-05,              9.901e-05,              9.901e-05
                      4,                0.66021,                 2.9443,                0.63516,                0.57004,                 1.0069,                0.97145,                      1,                  0.995,                0.78324,                0.97145,                      1,                  0.995,                0.58252,                0.83195,                 1.8893,                0.65487,                0.63828,                 1.2983,             0.00013792,             0.00013792,             0.00013792
                      5,                0.69837,                  2.992,                0.62274,                 0.5568,                 1.0533,                0.92078,                      1,                  0.995,                0.78399,                0.92078,                      1,                  0.995,                0.52495,                0.92883,                 1.9314,                0.65539,                0.76018,                 1.3592,             0.00017644,             0.00017644,             0.00017644
                      6,                0.73866,                 2.7078,                0.62019,                0.55468,                 1.1208,                 0.9217,                      1,                  0.995,                0.80926,                 0.9217,                      1,                  0.995,                0.52587,                 1.0163,                 1.9346,                0.65283,                0.78266,                 1.4528,             0.00021456,             0.00021456,             0.00021456
                      7,                0.66613,                 2.3722,                0.64759,                0.50176,                 1.0767,                0.94324,                      1,                  0.995,                0.77185,                0.94324,                      1,                  0.995,                0.55873,                 1.0407,                   1.79,                 0.6499,                0.79665,                 1.5321,             0.00025228,             0.00025228,             0.00025228
                      8,                0.68538,                 2.4058,                0.63702,                0.52247,                0.97983,                0.95712,                      1,                  0.995,                0.74798,                0.95712,                      1,                  0.995,                0.58337,                 1.0542,                  1.813,                0.64612,                0.80101,                 1.5163,              0.0002896,              0.0002896,              0.0002896
                      9,                0.63653,                 2.7163,                0.62546,                0.52994,                 1.0038,                0.95875,                      1,                  0.995,                0.74828,                0.95875,                      1,                  0.995,                0.59373,                 1.0117,                 1.8525,                0.64072,                0.83907,                 1.4782,             0.00032654,             0.00032654,             0.00032654
                     10,                 0.6407,                 2.6543,                0.63101,                0.47753,                0.99828,                0.82653,                      1,                0.97214,                0.75608,                0.82653,                      1,                0.97214,                0.62543,                0.93677,                 1.7783,                0.64226,                0.80913,                 1.4018,             0.00036307,             0.00036307,             0.00036307
                     11,                0.72035,                 2.9342,                0.65825,                0.53455,                 1.0293,                0.83066,                      1,                0.97214,                0.78819,                0.83066,                      1,                0.97214,                0.64687,                0.78738,                 1.7488,                0.64421,                0.87134,                 1.3577,             0.00039921,             0.00039921,             0.00039921
                     12,                0.64537,                 2.5829,                0.63344,                0.48671,                0.97776,                      1,                0.96489,                  0.995,                0.79182,                      1,                0.96489,                  0.995,                0.65967,                0.76795,                  1.755,                 0.6462,                0.90441,                 1.3262,             0.00043495,             0.00043495,             0.00043495
                     13,                0.60311,                 2.3436,                0.63877,                0.46312,                 1.0282,                      1,                0.95155,                  0.995,                0.78884,                      1,                0.95155,                  0.995,                0.65898,                0.78056,                  1.817,                0.64658,                0.85809,                 1.3217,              0.0004703,              0.0004703,              0.0004703
                     14,                0.63916,                 2.3496,                0.63215,                0.49613,                 1.0125,                      1,                0.97777,                  0.995,                0.80888,                      1,                0.97777,                  0.995,                0.63086,                0.78096,                 1.8851,                0.64657,                0.75936,                 1.3251,             0.00050525,             0.00050525,             0.00050525
                     15,                0.71351,                 2.3332,                0.62048,                0.55113,                 1.0885,                      1,                0.96961,                  0.995,                0.81513,                      1,                0.96961,                  0.995,                0.57145,                0.72811,                 1.9712,                0.64881,                0.72073,                 1.3345,             0.00053981,             0.00053981,             0.00053981
